Device Serial:	0001
Estimated Duration[s]:	310.9626770019536
Start Time:	2022-10-10 13:17:23
Estimated End:	2022-10-10 13:22:34
Lower Bound[V]:	2.6
Upper Bound[V]:	2.7
Start Voltage[V]:	2.689037322998047
Stop Voltage[V]:	2.6
Scan Rate[V/s]:	0.001
Cycles:	1
Samples to Average:	1

Elapsed_Time(s)	Potential(V)	Current(A)	Cycle
4.106289e+01	2.669678e+00	-7.427894e-04	1
4.115738e+01	2.669449e+00	-7.526246e-04	1
4.124511e+01	2.669434e+00	-7.512684e-04	1
4.133262e+01	2.669388e+00	-7.534737e-04	1
4.142481e+01	2.669235e+00	-7.582497e-04	1
4.151808e+01	2.669136e+00	-7.624361e-04	1
4.160469e+01	2.669147e+00	-7.600658e-04	1
4.169236e+01	2.668991e+00	-7.651485e-04	1
4.178348e+01	2.668999e+00	-7.674127e-04	1
4.187657e+01	2.668877e+00	-7.725307e-04	1
4.196442e+01	2.668800e+00	-7.723302e-04	1
4.205392e+01	2.668667e+00	-7.761275e-04	1
4.214364e+01	2.668533e+00	-7.809861e-04	1
4.223661e+01	2.668442e+00	-7.822951e-04	1
4.232613e+01	2.668343e+00	-7.847834e-04	1
4.241442e+01	2.668308e+00	-7.880500e-04	1
4.250406e+01	2.668213e+00	-7.893118e-04	1
4.259765e+01	2.668129e+00	-7.940525e-04	1
4.268497e+01	2.667980e+00	-7.950431e-04	1
4.277536e+01	2.667881e+00	-7.986870e-04	1
4.286315e+01	2.667938e+00	-8.015762e-04	1
4.295721e+01	2.667725e+00	-8.038051e-04	1
4.304473e+01	2.667572e+00	-8.089349e-04	1
4.313335e+01	2.667576e+00	-8.079561e-04	1
4.322359e+01	2.667461e+00	-8.126143e-04	1
4.331945e+01	2.667431e+00	-8.125081e-04	1
4.340339e+01	2.667301e+00	-8.179446e-04	1
4.349422e+01	2.667259e+00	-8.182630e-04	1
4.358448e+01	2.667088e+00	-8.245249e-04	1
4.367717e+01	2.666988e+00	-8.275439e-04	1
4.376457e+01	2.666969e+00	-8.296076e-04	1
4.385422e+01	2.666855e+00	-8.289472e-04	1
4.394368e+01	2.666821e+00	-8.323199e-04	1
4.403347e+01	2.666672e+00	-8.361290e-04	1
4.412550e+01	2.666553e+00	-8.401267e-04	1
4.421369e+01	2.666527e+00	-8.418249e-04	1
